date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:59	74728/74728	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2016:38:58%20GMT	https://www.aiaa.org/	C:/My%20Web%20Sites/vin18/www.aiaa.org/index.html	(from )
22:08:59	457/457	---M-Z	200	added ('OK')	text/plain	etag:%225b179da84b71d81:0%22	https://www.aiaa.org/robots.txt		(from )
22:09:00	109629/109629	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Nov%202022%2016:38:59%20GMT	https://www.aiaa.org/Stylesheets/AIAAMain/50bf9a8c-b123-410e-8fef-bfca2bd1b643?version=222	C:/My%20Web%20Sites/vin18/www.aiaa.org/Stylesheets/AIAAMain/50bf9a8c-b123-410e-8fef-bfca2bd1b643854f.css	(from https://www.aiaa.org/)
22:09:00	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	https://use.fontawesome.com/releases/v5.5.0/css/all.css	C:/My%20Web%20Sites/vin18/use.fontawesome.com/releases/v5.5.0/css/all.css	(from https://www.aiaa.org/)
22:09:01	3882/3882	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-57x57.png	(from https://www.aiaa.org/)
22:09:01	12012/12012	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-114x114.png	(from https://www.aiaa.org/)
22:09:02	5555/5555	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-72x72.png	(from https://www.aiaa.org/)
22:09:02	18316/18316	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-144x144.png	(from https://www.aiaa.org/)
22:09:03	3653/3653	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-60x60.png	(from https://www.aiaa.org/)
22:09:04	11294/11294	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-120x120.png	(from https://www.aiaa.org/)
22:09:04	6287/6287	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-76x76.png	(from https://www.aiaa.org/)
22:09:05	19665/19665	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/apple-touch-icon-152x152.png	(from https://www.aiaa.org/)
22:09:05	32063/32063	---M--	200	added ('OK')	image/png	etag:%220c3b54998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-196x196.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-196x196.png	(from https://www.aiaa.org/)
22:09:06	8830/8830	---M--	200	added ('OK')	image/png	etag:%220c3b54998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-96x96.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-96x96.png	(from https://www.aiaa.org/)
22:09:07	1543/1543	---M--	200	added ('OK')	image/png	etag:%220c3b54998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-32x32.png	(from https://www.aiaa.org/)
22:09:08	692/692	---M--	200	added ('OK')	image/png	etag:%220c3b54998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-16x16.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-16x16.png	(from https://www.aiaa.org/)
22:09:08	10332/10332	---M--	200	added ('OK')	image/png	etag:%220c3b54998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-128.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/favicon-128.png	(from https://www.aiaa.org/)
22:09:09	18316/18316	---M--	200	added ('OK')	image/png	etag:%220df953998bd41:0%22	https://www.aiaa.org/ResourcePackages/AIAA/assets/images/mstile-144x144.png	C:/My%20Web%20Sites/vin18/www.aiaa.org/ResourcePackages/AIAA/assets/images/mstile-144x144.png	(from https://www.aiaa.org/)
